Attendance,Coding_Score,DSA_Score,Aptitude,Communication,Projects,Internships,CGPA,Placement_Status
53,60,72,66,33,1,3,8.26,Placed
56,53,88,74,92,2,2,9.96,Placed
65,46,72,90,91,3,1,6.85,Placed
75,81,52,59,93,2,3,8.68,Placed
94,35,49,77,40,0,1,7.54,Placed
90,63,90,98,26,1,3,9.82,Placed
40,31,38,80,96,3,0,5.32,Placed
54,67,30,97,24,5,3,9.65,Placed
65,98,86,56,96,0,1,8.2,Placed
68,21,45,86,56,1,0,8.92,Placed
72,86,49,98,41,5,0,6.8,Placed
81,20,40,31,55,3,2,8.35,Placed
65,95,45,86,21,5,0,9.6,Placed
75,56,91,94,64,2,2,6.13,Placed
52,78,71,93,20,2,1,7.04,Placed
46,91,29,84,57,2,0,9.01,Placed
56,88,93,52,76,3,3,8.85,Placed
88,63,78,78,95,0,3,5.58,Placed
44,68,48,49,60,3,2,7.58,Placed
40,53,51,56,31,3,2,5.38,Placed
99,42,80,60,65,1,2,5.91,Placed
87,44,83,45,50,5,1,9.36,Placed
53,49,45,51,99,2,1,8.89,Placed
47,30,83,98,20,4,0,9.24,Placed
63,99,60,83,93,2,3,5.91,Placed
88,85,55,70,48,4,1,5.27,Placed
91,74,81,89,24,4,2,6.97,Placed
83,42,78,35,86,3,2,8.45,Placed
40,46,68,94,32,2,2,8.06,Placed
56,43,90,53,50,2,3,9.79,Placed
61,66,43,83,74,1,3,8.5,Placed
63,66,71,55,77,1,1,9.9,Placed
83,49,32,54,50,4,3,9.28,Placed
52,38,39,80,21,1,3,7.5,Placed
97,100,86,88,60,3,2,6.25,Placed
94,92,26,70,32,5,1,5.3,Placed
92,52,80,100,32,3,2,6.3,Placed
63,91,91,52,64,0,3,5.61,Placed
95,97,45,93,93,5,1,9.9,Placed
58,65,61,85,82,5,3,9.45,Placed
64,98,56,79,100,1,1,8.2,Placed
99,63,73,100,98,4,3,9.24,Placed
44,30,40,63,49,2,2,8.27,Placed
85,54,97,70,54,3,2,8.74,Placed
73,77,72,41,43,0,1,8.64,Placed
82,52,30,46,41,3,0,5.48,Placed
99,80,90,26,23,3,0,5.52,Placed
79,39,30,69,59,1,1,8.69,Placed
68,100,36,36,87,1,0,5.18,Placed
62,61,80,79,89,2,3,5.68,Placed
100,89,42,95,96,3,3,7.62,Placed
80,88,59,64,81,4,1,9.02,Placed
68,59,66,72,53,1,2,5.05,Placed
73,37,64,56,80,4,0,8.44,Placed
71,81,58,21,75,2,1,8.98,Placed
75,67,44,72,91,3,3,6.25,Placed
85,69,68,48,53,0,3,8.13,Placed
73,98,54,56,88,2,3,5.94,Placed
44,43,37,57,34,5,3,8.09,Placed
57,99,82,44,61,0,1,5.25,Placed
74,22,43,33,56,2,1,8.58,Placed
86,21,49,31,39,0,3,6.09,Placed
66,59,83,67,79,5,0,6.65,Placed
93,38,27,54,70,0,3,5.91,Placed
97,52,68,21,35,5,1,6.92,Placed
68,51,24,45,78,5,0,7.61,Placed
53,80,69,59,61,1,0,8.72,Placed
75,86,35,52,81,5,2,5.99,Placed
96,26,47,34,50,5,3,6.62,Placed
50,55,94,35,70,1,0,9.84,Placed
77,80,96,39,67,0,1,5.79,Placed
45,99,63,100,27,0,2,8.22,Placed
84,88,33,36,82,1,2,9.91,Placed
90,64,76,44,22,5,3,6.79,Placed
48,52,25,82,76,4,2,7.71,Placed
71,44,92,43,89,2,2,8.66,Placed
57,96,90,40,28,4,1,7.25,Placed
92,53,89,66,78,0,3,8.67,Placed
96,22,99,66,99,1,2,8.61,Placed
82,88,69,44,87,5,3,8.83,Placed
49,98,56,61,72,5,2,5.55,Placed
73,28,25,36,42,0,1,5.54,Not Placed
52,32,24,93,69,5,3,7.63,Placed
84,95,52,26,66,1,0,5.07,Placed
98,46,82,30,79,5,0,6.8,Placed
87,73,67,27,98,2,0,8.67,Placed
93,58,29,47,86,0,0,8.63,Placed
74,69,44,44,87,5,1,7.85,Placed
100,42,91,91,73,5,0,8.83,Placed
76,65,78,74,33,1,1,7.75,Placed
72,63,40,88,96,3,2,9.51,Placed
75,61,67,72,75,5,2,8.04,Placed
76,89,47,68,90,5,2,6.8,Placed
68,77,70,20,24,2,0,7.59,Placed
96,58,20,58,48,1,2,5.11,Placed
92,55,90,85,91,4,1,5.47,Placed
69,65,39,37,53,2,1,6.16,Placed
91,58,31,93,71,4,1,8.67,Placed
86,61,81,42,82,5,0,7.98,Placed
59,24,93,68,30,0,2,6.74,Placed
92,75,73,35,49,5,0,8.17,Placed
80,68,26,59,87,0,2,7.7,Placed
49,61,84,48,39,0,3,9.86,Placed
88,96,93,84,31,1,3,6.45,Placed
65,38,36,63,30,3,0,7.74,Placed
56,30,71,84,75,5,1,8.81,Placed
70,91,45,82,70,5,1,7.81,Placed
87,87,51,51,29,2,3,6.62,Placed
99,93,31,34,72,3,2,6.74,Placed
60,64,96,23,59,1,2,8.08,Placed
91,76,99,38,76,0,1,6.0,Placed
63,39,30,34,26,1,1,9.34,Placed
92,56,21,63,34,2,3,7.36,Placed
61,46,88,47,46,4,2,7.74,Placed
79,38,22,68,94,5,0,6.28,Placed
43,56,45,99,54,0,3,8.27,Placed
40,28,69,54,66,0,0,6.46,Placed
96,69,49,68,85,5,0,9.52,Placed
71,96,88,31,43,1,3,7.8,Placed
85,22,25,51,87,2,2,7.45,Placed
87,40,22,64,65,2,2,6.18,Placed
72,55,27,100,52,3,0,9.72,Placed
100,55,48,39,63,3,1,5.44,Placed
64,86,98,100,49,3,1,7.86,Placed
67,59,97,62,77,4,1,6.03,Placed
48,94,89,45,37,2,1,7.15,Placed
98,38,92,40,60,0,0,5.92,Placed
93,38,23,60,72,3,2,7.22,Placed
99,55,39,44,33,1,1,5.13,Placed
79,98,54,97,92,4,1,7.98,Placed
54,23,65,30,81,1,3,8.56,Placed
63,43,69,82,80,1,1,5.97,Placed
42,72,21,54,72,1,1,8.79,Placed
44,42,76,98,82,5,2,9.33,Placed
96,51,74,71,25,4,3,8.6,Placed
65,98,93,96,88,4,0,7.6,Placed
68,78,25,51,86,4,3,9.92,Placed
42,91,69,86,100,0,1,6.46,Placed
65,58,56,79,41,3,2,8.07,Placed
43,86,38,79,77,0,0,5.9,Placed
77,89,37,70,72,2,3,5.12,Placed
69,95,45,78,31,2,2,8.46,Placed
98,40,35,31,34,5,3,8.17,Placed
45,87,69,85,98,1,3,7.75,Placed
42,41,62,92,39,1,1,5.89,Placed
85,26,73,59,59,5,3,6.44,Placed
51,35,36,45,20,4,2,5.06,Placed
71,83,89,20,97,3,1,6.08,Placed
82,80,78,72,76,0,0,6.22,Placed
75,55,99,100,91,1,0,5.92,Placed
43,64,24,38,24,5,2,6.66,Placed
45,26,33,73,42,1,2,8.06,Placed
84,96,93,91,42,3,2,9.66,Placed
45,58,61,67,68,0,3,9.22,Placed
44,57,80,37,35,5,2,6.65,Placed
66,87,46,46,98,0,0,7.86,Placed
80,87,31,81,97,5,2,7.14,Placed
94,60,53,87,93,4,2,9.64,Placed
79,92,83,86,100,3,3,9.04,Placed
96,98,49,57,44,0,0,5.12,Placed
80,35,46,98,73,3,0,6.67,Placed
75,47,21,45,56,2,0,6.54,Placed
72,90,61,20,34,5,2,6.71,Placed
86,92,98,23,42,1,2,9.17,Placed
99,81,80,24,37,3,1,8.14,Placed
97,88,62,79,72,5,0,9.18,Placed
59,92,60,91,88,0,1,7.89,Placed
61,65,28,39,55,0,2,9.92,Placed
80,88,41,93,97,3,1,7.98,Placed
95,59,60,24,54,3,0,7.49,Placed
55,67,77,58,47,4,2,5.88,Placed
63,24,45,31,76,4,0,9.0,Placed
97,84,39,44,63,3,2,8.88,Placed
49,32,86,36,46,5,0,7.3,Placed
85,86,34,20,59,0,0,6.67,Placed
96,25,33,86,59,0,2,8.19,Placed
53,61,45,44,56,2,2,8.86,Placed
82,35,54,39,40,2,0,5.08,Placed
79,91,85,33,46,4,2,7.75,Placed
57,38,56,93,51,1,0,6.56,Placed
97,63,89,76,26,1,0,7.35,Placed
83,26,33,69,26,0,3,6.96,Placed
85,96,95,100,77,4,2,6.56,Placed
92,45,88,30,79,4,1,5.46,Placed
91,79,32,78,59,5,3,7.35,Placed
100,48,38,98,53,2,3,5.92,Placed
98,62,61,78,82,0,0,7.38,Placed
62,81,79,41,56,2,1,7.54,Placed
65,33,61,91,29,2,3,7.0,Placed
66,50,99,51,90,1,3,6.92,Placed
61,46,95,75,75,4,2,7.72,Placed
55,42,29,93,82,0,3,6.63,Placed
46,76,42,59,71,0,0,8.43,Placed
78,68,61,83,27,0,1,9.09,Placed
96,94,20,38,39,3,2,6.95,Placed
76,77,45,46,60,2,2,9.59,Placed
99,75,64,31,94,0,3,9.24,Placed
94,57,27,67,90,0,0,8.52,Placed
92,65,34,56,23,1,3,8.51,Placed
65,100,60,68,71,3,3,7.73,Placed
82,42,80,37,44,4,3,9.22,Placed
63,73,39,56,36,1,0,5.36,Placed
41,38,82,75,37,0,1,8.21,Placed
66,78,97,74,99,1,3,7.55,Placed
75,77,69,65,48,1,3,8.02,Placed
76,83,50,84,54,3,2,5.17,Placed
42,92,81,67,34,4,3,9.81,Placed
45,38,87,55,79,4,0,7.62,Placed
79,31,51,80,100,5,0,8.42,Placed
74,94,59,98,26,2,0,7.34,Placed
72,80,93,62,73,2,2,6.45,Placed
42,96,58,92,53,0,3,7.89,Placed
76,26,57,99,23,2,3,5.41,Placed
72,29,55,52,36,4,2,6.38,Placed
56,21,34,97,42,4,1,8.3,Placed
63,42,53,50,82,1,0,6.71,Placed
45,38,96,39,83,3,3,6.19,Placed
68,41,46,93,64,0,2,8.78,Placed
47,26,41,79,71,3,2,7.38,Placed
100,88,49,68,69,3,2,5.73,Placed
95,75,21,56,77,3,2,9.81,Placed
83,25,32,88,65,3,2,6.67,Placed
57,32,52,94,70,3,1,8.67,Placed
77,44,86,63,43,2,0,8.36,Placed
93,28,21,72,32,4,0,8.43,Placed
62,48,56,52,44,0,0,8.1,Placed
43,96,47,96,35,5,0,5.43,Placed
78,36,68,92,43,0,1,6.27,Placed
69,29,78,55,74,5,2,6.29,Placed
89,29,55,27,68,3,2,9.98,Placed
56,53,42,76,28,3,1,8.05,Placed
51,82,33,38,89,3,1,8.07,Placed
46,76,53,33,24,0,0,7.86,Placed
56,77,22,83,39,5,0,9.66,Placed
82,69,54,39,62,3,0,7.58,Placed
100,82,81,75,71,5,0,7.7,Placed
40,69,81,35,92,4,2,6.67,Placed
59,71,27,100,31,2,2,5.4,Placed
69,57,45,42,90,0,3,8.3,Placed
59,69,33,100,65,3,0,9.43,Placed
68,44,37,24,44,0,1,7.45,Placed
44,89,59,83,88,3,0,5.19,Placed
43,63,25,71,35,1,3,9.7,Placed
95,88,39,94,49,0,0,8.68,Placed
71,22,80,99,25,1,1,5.07,Placed
80,26,59,32,78,4,1,9.18,Placed
44,33,34,83,96,4,1,5.32,Placed
52,74,63,71,61,0,1,6.61,Placed
90,47,25,95,42,2,0,5.6,Placed
49,73,41,67,90,1,3,6.22,Placed
77,25,37,32,100,4,3,8.89,Placed
41,82,30,20,20,1,0,8.53,Placed
77,56,73,80,36,1,1,8.2,Placed
73,77,72,50,42,4,0,7.98,Placed
85,83,98,31,100,2,2,7.09,Placed
75,50,44,35,87,0,2,9.31,Placed
74,84,48,79,100,5,1,6.38,Placed
52,34,39,80,83,1,1,8.35,Placed
42,26,66,56,46,3,2,6.67,Placed
91,78,25,33,26,4,1,5.79,Placed
41,82,85,34,29,1,3,7.96,Placed
60,73,45,61,49,0,2,6.14,Placed
55,72,45,68,48,0,3,7.93,Placed
43,75,38,47,98,3,1,6.94,Placed
48,78,44,100,65,2,1,6.68,Placed
42,92,27,55,37,0,3,7.29,Placed
50,63,48,57,97,1,1,7.89,Placed
75,49,31,72,86,3,1,7.96,Placed
93,79,55,21,74,5,1,6.24,Placed
67,94,48,95,39,4,0,7.09,Placed
42,25,80,84,24,3,3,7.4,Placed
91,32,77,83,50,0,0,8.47,Placed
66,47,36,65,57,1,0,5.08,Placed
82,59,40,78,93,5,0,9.88,Placed
69,37,71,43,67,5,3,8.52,Placed
40,100,29,69,62,4,0,6.48,Placed
88,54,98,89,93,1,0,8.1,Placed
61,27,85,66,26,0,3,6.83,Placed
79,25,66,66,42,5,0,7.8,Placed
89,46,37,62,50,4,0,8.25,Placed
87,94,46,48,61,2,2,7.52,Placed
67,55,26,28,67,2,3,7.43,Placed
73,35,80,88,88,2,3,8.1,Placed
91,28,44,78,31,0,3,9.49,Placed
58,29,33,41,55,0,1,7.48,Placed
95,46,86,100,22,2,3,9.85,Placed
74,36,80,64,73,3,0,6.46,Placed
44,22,49,86,62,3,2,8.28,Placed
90,61,82,95,87,4,3,7.29,Placed
76,36,59,41,53,1,3,6.86,Placed
58,26,38,65,56,3,1,8.09,Placed
50,88,56,43,42,5,1,5.81,Placed
47,25,60,93,36,3,2,6.85,Placed
53,91,24,60,64,1,2,7.24,Placed
50,88,58,35,23,3,3,8.84,Placed
100,78,60,39,20,5,2,8.24,Placed
58,80,57,93,38,4,3,6.69,Placed
47,81,25,37,90,0,2,5.12,Placed
79,48,77,65,31,2,0,8.04,Placed
52,94,87,48,55,1,0,5.42,Placed
94,77,31,85,70,1,3,6.59,Placed
78,85,27,66,70,1,3,6.85,Placed
63,21,56,64,64,2,3,9.37,Placed
45,47,76,73,76,2,1,9.03,Placed
97,74,73,37,95,4,0,5.72,Placed
59,80,87,62,28,4,3,5.44,Placed
66,54,73,42,91,3,1,6.0,Placed
93,68,57,90,82,0,2,9.17,Placed
59,83,91,79,48,0,0,5.77,Placed
59,80,35,56,73,1,3,9.53,Placed
81,51,23,35,55,3,0,7.99,Placed
63,94,81,92,75,2,3,9.87,Placed
92,35,67,85,93,0,2,5.81,Placed
43,38,60,79,37,2,1,5.26,Placed
63,73,65,26,57,2,0,7.57,Placed
89,100,43,32,96,1,2,9.36,Placed
92,58,54,66,32,4,2,9.12,Placed
40,37,86,56,67,3,3,6.7,Placed
98,40,33,47,39,4,1,9.16,Placed
90,91,98,87,88,5,0,7.09,Placed
98,29,34,36,22,3,2,6.56,Placed
63,37,76,96,86,2,1,8.55,Placed
41,35,48,36,38,5,1,6.54,Placed
53,36,30,74,34,0,0,8.87,Placed
88,75,25,45,33,0,0,7.35,Placed
98,52,25,28,58,5,0,8.77,Placed
90,35,97,46,95,1,1,8.35,Placed
41,31,38,55,94,2,2,5.8,Placed
72,98,50,84,92,0,0,9.1,Placed
88,21,87,47,44,2,1,9.51,Placed
74,20,32,47,84,5,3,6.83,Placed
77,43,76,33,43,2,3,7.12,Placed
72,49,72,34,60,0,3,5.55,Placed
48,83,66,56,91,5,0,5.41,Placed
71,34,69,56,78,4,2,8.44,Placed
93,76,48,90,72,2,3,5.94,Placed
44,80,67,42,21,5,3,8.36,Placed
65,76,86,30,35,1,3,7.0,Placed
77,33,41,28,66,1,2,6.0,Placed
94,71,35,49,74,5,3,6.39,Placed
85,94,95,54,71,2,3,8.33,Placed
100,71,82,85,55,1,3,5.54,Placed
56,82,83,49,100,1,0,5.5,Placed
43,28,83,23,42,3,2,5.76,Placed
79,99,32,29,86,3,3,6.01,Placed
82,83,82,84,53,4,2,9.05,Placed
74,89,22,24,75,0,3,7.25,Placed
94,68,76,78,24,0,1,7.78,Placed
95,58,41,82,75,1,2,8.58,Placed
71,34,92,82,90,5,3,7.38,Placed
94,40,84,27,70,2,3,7.96,Placed
64,98,65,56,61,0,0,7.95,Placed
48,66,64,94,23,5,2,6.9,Placed
67,64,65,72,64,0,1,6.24,Placed
81,59,95,30,28,2,0,6.69,Placed
41,88,61,24,78,5,3,7.84,Placed
97,73,54,22,80,4,0,9.93,Placed
64,93,69,61,93,0,3,5.5,Placed
83,46,63,83,84,5,2,5.83,Placed
59,66,75,45,83,5,0,9.2,Placed
74,47,56,53,26,2,3,9.02,Placed
79,31,94,32,95,2,2,5.34,Placed
91,87,80,74,46,2,0,8.26,Placed
59,84,58,75,89,2,1,7.07,Placed
56,99,85,78,90,1,0,8.14,Placed
73,43,93,83,47,5,3,6.34,Placed
80,88,98,75,92,5,0,7.61,Placed
63,79,38,50,39,5,2,9.22,Placed
66,60,28,46,72,2,2,8.23,Placed
56,96,50,71,50,0,1,5.96,Placed
55,59,79,82,91,3,3,8.23,Placed
42,45,40,54,37,0,2,8.95,Placed
57,90,42,25,82,0,0,9.3,Placed
45,60,97,58,28,3,2,8.36,Placed
96,31,70,37,50,0,0,7.61,Placed
93,94,87,52,83,0,1,8.0,Placed
89,60,62,94,69,5,1,9.68,Placed
53,38,33,42,47,2,3,7.04,Placed
95,95,27,82,88,2,0,6.58,Placed
67,80,51,55,38,2,3,8.58,Placed
92,59,22,97,24,5,0,8.45,Placed
90,50,52,90,69,2,2,9.52,Placed
83,35,88,50,76,3,0,9.55,Placed
65,52,58,31,50,2,1,9.3,Placed
50,76,100,60,72,0,2,9.33,Placed
92,82,80,72,62,5,3,9.38,Placed
92,32,40,53,84,0,2,7.1,Placed
86,90,61,78,23,0,1,8.15,Placed
90,37,20,71,45,5,2,6.57,Placed
45,34,40,51,86,5,1,9.23,Placed
83,72,60,77,81,5,1,6.3,Placed
83,95,61,56,45,0,3,6.84,Placed
65,68,93,48,22,0,1,9.53,Placed
69,45,53,41,26,3,3,8.0,Placed
49,31,67,41,92,0,0,8.59,Placed
67,78,83,35,48,5,1,5.95,Placed
95,54,56,83,68,1,3,9.28,Placed
78,47,56,44,73,1,3,8.96,Placed
41,57,53,50,99,3,1,6.85,Placed
83,78,30,21,80,1,2,9.87,Placed
65,47,69,74,96,2,0,5.48,Placed
43,26,62,50,80,2,0,5.03,Placed
72,99,68,58,70,5,2,5.66,Placed
97,91,25,94,42,2,1,7.52,Placed
99,63,79,36,31,2,3,5.71,Placed
47,60,25,36,83,2,2,9.63,Placed
58,53,98,53,86,2,3,9.46,Placed
60,82,39,91,76,0,1,5.74,Placed
54,43,24,80,53,1,3,7.18,Placed
97,83,25,76,65,5,3,7.29,Placed
47,38,35,64,31,1,2,5.9,Placed
50,85,54,92,94,1,0,7.63,Placed
76,43,73,29,51,3,0,9.44,Placed
41,56,35,70,67,4,0,9.18,Placed
49,23,30,78,81,3,2,7.97,Placed
40,62,25,99,77,2,1,6.06,Placed
43,56,61,27,29,4,3,5.46,Placed
56,42,50,71,31,0,1,5.81,Placed
89,71,56,39,35,2,3,9.01,Placed
87,59,97,36,65,5,0,9.16,Placed
72,45,82,77,69,3,2,7.82,Placed
67,31,74,67,98,1,3,8.15,Placed
45,25,85,63,79,5,1,8.24,Placed
85,39,83,87,100,5,0,6.45,Placed
67,30,81,58,39,1,2,9.21,Placed
73,74,57,92,26,4,0,9.59,Placed
72,33,85,74,72,0,3,8.3,Placed
76,52,65,52,94,0,0,5.57,Placed
82,79,42,43,70,0,0,7.08,Placed
85,58,60,95,78,5,3,8.12,Placed
56,63,43,47,43,0,2,9.36,Placed
46,75,88,22,20,3,0,5.07,Placed
81,81,78,71,97,5,3,6.51,Placed
92,98,66,70,58,0,1,5.68,Placed
52,34,22,44,23,1,3,8.24,Placed
81,50,75,100,88,1,0,6.5,Placed
69,38,80,74,22,0,1,9.51,Placed
87,76,82,80,22,3,1,6.01,Placed
76,70,26,62,21,0,3,9.9,Placed
94,83,94,96,90,2,0,7.44,Placed
71,85,95,98,82,1,0,7.64,Placed
67,93,60,90,28,2,3,9.45,Placed
47,83,99,64,77,5,3,5.1,Placed
58,44,80,64,76,1,1,7.94,Placed
83,63,97,79,36,2,3,9.8,Placed
93,66,80,40,99,1,2,8.45,Placed
45,81,36,42,45,1,3,5.5,Placed
66,83,58,50,46,4,0,10.0,Placed
62,53,65,40,42,4,0,9.03,Placed
61,75,34,99,49,0,1,7.43,Placed
61,65,25,91,54,1,0,8.53,Placed
99,76,78,34,33,4,0,9.12,Placed
42,84,33,41,100,0,1,9.55,Placed
50,57,76,84,83,5,0,5.77,Placed
63,62,37,35,45,3,3,8.85,Placed
40,51,80,63,56,4,1,5.43,Placed
63,73,66,100,51,1,3,8.94,Placed
48,74,72,72,78,4,2,9.72,Placed
68,38,21,86,28,0,2,6.57,Placed
89,41,75,27,70,0,1,9.51,Placed
43,100,86,57,73,3,2,8.61,Placed
60,64,21,55,87,4,1,8.5,Placed
68,46,89,99,99,5,3,8.49,Placed
96,71,45,58,30,0,2,6.95,Placed
86,36,86,89,56,1,0,7.56,Placed
59,86,63,40,22,0,2,6.21,Placed
89,58,74,84,34,5,0,9.21,Placed
56,100,84,65,35,0,0,7.24,Placed
76,20,78,63,50,5,1,6.75,Placed
58,93,37,68,86,5,1,5.53,Placed
73,94,44,66,78,0,1,8.56,Placed
93,72,30,31,27,3,1,7.38,Placed
68,29,67,87,71,4,3,9.36,Placed
77,83,74,76,82,5,3,9.12,Placed
49,84,36,82,78,1,0,8.47,Placed
69,80,24,40,91,2,0,8.01,Placed
66,34,35,67,93,2,0,7.61,Placed
47,67,59,67,58,2,3,5.14,Placed
49,38,95,73,26,2,2,6.08,Placed
92,82,20,35,90,2,0,9.35,Placed
66,81,93,59,92,3,2,8.91,Placed
70,97,36,37,84,5,3,8.81,Placed
82,77,39,61,31,4,3,6.94,Placed
97,70,63,89,25,5,3,8.68,Placed
81,31,41,23,93,5,2,7.81,Placed
47,91,30,44,99,4,0,9.79,Placed
73,44,80,84,22,0,1,9.81,Placed
57,46,51,94,76,0,2,7.01,Placed
42,82,22,63,75,1,3,5.12,Placed
73,60,68,52,31,0,0,7.71,Placed
58,38,43,52,31,1,2,9.76,Placed
83,41,27,98,61,1,0,8.57,Placed
59,69,32,60,38,3,2,6.29,Placed
100,35,26,45,50,4,1,7.46,Placed
88,84,69,34,54,0,2,7.32,Placed
66,28,81,23,72,5,1,9.57,Placed
41,54,90,95,32,1,1,6.52,Placed
66,77,30,84,46,1,2,7.7,Placed
50,51,88,74,91,3,0,5.01,Placed
69,99,57,41,20,0,3,6.37,Placed
56,68,64,100,47,4,2,5.23,Placed
87,88,92,28,58,0,3,8.49,Placed
93,37,91,55,75,1,2,9.42,Placed
100,63,53,77,54,1,2,6.71,Placed
69,96,62,22,37,5,0,8.04,Placed
40,21,42,72,91,5,3,8.81,Placed
74,30,29,88,23,5,3,8.36,Placed
62,68,96,65,69,1,0,5.62,Placed
63,44,76,21,48,5,0,8.79,Placed
83,65,44,31,98,5,2,9.04,Placed
54,49,83,66,24,2,3,9.52,Placed
85,97,46,20,45,5,3,5.55,Placed
57,92,84,83,41,4,1,8.3,Placed
76,97,92,42,28,4,1,8.73,Placed
48,53,92,49,86,5,2,5.96,Placed
83,22,88,98,52,5,3,5.01,Placed
67,26,61,75,72,2,0,8.4,Placed
69,83,66,86,25,5,1,5.23,Placed
98,73,88,77,60,0,3,5.97,Placed
45,93,23,48,74,0,1,5.98,Placed
61,59,28,100,100,0,0,7.4,Placed
91,23,95,100,62,2,1,5.54,Placed
55,63,26,62,86,1,0,8.88,Placed
79,76,32,100,77,4,0,5.43,Placed
43,24,68,60,28,1,0,9.6,Placed
68,27,58,98,100,3,0,5.51,Placed
43,91,26,57,68,3,0,8.09,Placed
66,49,96,99,21,3,3,7.32,Placed
67,99,99,32,63,5,0,7.27,Placed
61,95,44,33,33,0,0,7.96,Placed
93,44,93,36,85,2,2,7.11,Placed
86,99,76,43,51,1,0,5.3,Placed
59,94,75,85,65,2,1,5.74,Placed
59,97,63,57,67,0,1,5.29,Placed
72,91,26,74,64,1,1,8.2,Placed
52,28,63,44,80,5,3,8.0,Placed
61,94,92,62,98,2,3,6.64,Placed
46,78,25,83,48,0,1,8.47,Placed
69,99,47,50,81,5,2,9.04,Placed
64,46,71,43,20,2,0,5.37,Placed
41,91,34,38,57,3,1,8.16,Placed
98,66,25,23,45,1,2,5.87,Placed
96,53,42,63,90,1,1,5.98,Placed
51,53,32,22,37,3,0,6.69,Placed
53,59,78,50,67,2,1,9.71,Placed
91,99,75,28,35,1,1,8.97,Placed
52,88,68,67,60,4,3,9.88,Placed
55,25,98,95,44,4,2,8.95,Placed
60,51,26,100,55,1,3,6.05,Placed
45,80,98,28,41,4,3,8.76,Placed
81,85,67,83,86,3,1,6.61,Placed
63,87,81,83,80,2,3,8.19,Placed
90,94,24,46,48,1,3,9.32,Placed
65,47,59,74,68,4,1,9.68,Placed
63,52,90,30,37,0,2,7.22,Placed
62,49,94,25,79,4,2,7.13,Placed
69,75,72,67,83,2,2,6.91,Placed
51,76,49,53,29,2,0,6.47,Placed
72,85,89,30,55,1,0,5.59,Placed
63,24,89,45,62,1,2,6.25,Placed
87,55,44,97,37,5,2,5.04,Placed
59,56,64,71,71,4,0,7.36,Placed
72,39,70,49,49,5,1,7.37,Placed
73,95,90,79,79,2,0,6.57,Placed
52,74,73,46,76,3,0,6.87,Placed
76,36,59,21,83,5,2,6.7,Placed
66,74,71,88,58,2,0,7.84,Placed
42,37,39,62,92,5,3,9.9,Placed
53,70,28,88,69,1,3,5.54,Placed
76,77,58,31,41,0,1,5.16,Placed
84,97,82,23,43,1,0,9.56,Placed
64,56,46,49,57,5,0,7.27,Placed
63,86,21,41,61,3,3,5.79,Placed
47,36,88,73,81,5,0,6.94,Placed
97,46,36,46,59,3,3,5.79,Placed
76,59,95,45,84,5,3,6.38,Placed
40,38,77,28,71,4,1,7.63,Placed
98,92,82,78,79,4,0,8.69,Placed
58,78,64,58,70,4,1,7.08,Placed
51,99,75,78,69,5,1,8.49,Placed
46,70,25,50,40,2,2,8.33,Placed
44,47,83,72,90,0,2,5.38,Placed
46,84,61,72,77,1,2,6.04,Placed
42,79,23,29,79,3,2,8.73,Placed
94,44,70,24,21,2,0,8.55,Placed
48,61,79,82,79,0,0,7.74,Placed
55,76,37,80,55,1,1,9.19,Placed
78,32,42,57,35,4,3,5.84,Placed
82,21,54,39,76,2,1,6.08,Placed
42,88,47,76,26,5,0,6.95,Placed
59,76,26,96,20,0,3,8.84,Placed
99,51,67,50,45,0,0,7.11,Placed
40,63,44,28,48,0,1,8.62,Placed
42,73,85,33,61,2,1,8.12,Placed
99,89,70,74,35,1,1,5.53,Placed
60,42,21,71,60,0,3,6.06,Placed
54,28,55,99,67,0,0,9.43,Placed
66,58,96,83,33,5,1,6.26,Placed
46,96,61,100,69,5,1,6.66,Placed
80,60,81,28,62,0,3,6.91,Placed
80,49,84,95,21,1,0,8.08,Placed
97,35,59,50,74,1,0,5.3,Placed
63,83,57,45,39,3,1,8.21,Placed
55,96,76,62,37,2,2,8.22,Placed
88,25,86,73,56,0,1,9.23,Placed
61,63,51,46,89,0,1,9.01,Placed
84,48,97,68,86,2,1,7.21,Placed
40,28,82,28,44,0,1,9.69,Placed
48,31,42,95,90,1,1,7.54,Placed
67,79,59,41,45,1,3,5.88,Placed
55,58,56,93,77,5,1,6.36,Placed
90,81,30,66,70,3,1,7.35,Placed
67,84,98,75,39,3,0,8.81,Placed
67,30,58,96,88,1,1,6.29,Placed
69,59,78,56,68,4,3,5.36,Placed
48,80,45,39,44,0,0,9.31,Placed
86,67,82,71,73,3,2,6.92,Placed
59,95,29,72,24,0,3,9.66,Placed
50,44,75,52,64,4,3,8.17,Placed
63,27,69,74,51,1,3,5.17,Placed
92,66,100,23,38,2,3,9.72,Placed
49,52,51,97,94,5,1,5.06,Placed
89,31,69,70,95,0,1,9.38,Placed
50,74,52,58,84,4,3,7.93,Placed
86,72,31,33,93,2,1,6.35,Placed
53,70,59,20,41,3,0,5.48,Placed
89,73,87,73,56,5,3,5.85,Placed
63,43,37,45,82,1,0,7.25,Placed
92,47,43,45,27,5,1,9.05,Placed
52,53,72,76,100,4,0,9.34,Placed
50,30,57,30,68,0,2,5.32,Placed
41,94,50,81,82,5,0,5.05,Placed
57,20,94,25,32,1,0,6.88,Placed
73,54,82,80,63,4,3,6.68,Placed
